Date,Source,Start_Hour,End_Hour,Production
11/21/2021,Wind,4,5,556
10/25/2023,Wind,10,11,10951
7/16/2023,Wind,19,20,5612
7/22/2020,Solar,12,13,3790
3/8/2024,Wind,1,2,10506
12/10/2020,Wind,14,15,3341
6/19/2022,Wind,8,9,7096
10/23/2024,Wind,20,21,5480
6/11/2024,Wind,23,0,2863
9/9/2021,Wind,5,6,1689
6/11/2020,Wind,15,16,5051
6/7/2024,Wind,4,5,1976
3/26/2024,Wind,23,0,8226
2/9/2022,Wind,9,10,4407
2/15/2025,Wind,20,21,5334
4/28/2021,Wind,6,7,857
8/27/2020,Solar,11,12,4553
10/1/2024,Wind,7,8,6398
5/21/2021,Wind,0,1,9704
12/5/2021,Wind,22,23,4707
8/1/2022,Solar,14,15,6729
9/18/2022,Wind,23,0,4648
1/14/2025,Wind,4,5,2738
1/4/2025,Wind,9,10,4819
8/23/2020,Wind,20,21,3074
12/11/2022,Solar,11,12,4059
7/5/2024,Wind,2,3,3591
7/12/2021,Wind,10,11,3055
12/4/2022,Wind,18,19,1267
9/29/2023,Wind,15,16,10069
10/6/2024,Wind,10,11,7982
2/27/2023,Wind,20,21,11622
6/6/2021,Wind,7,8,2047
4/6/2022,Wind,17,18,13616
1/29/2025,Wind,14,15,13601
10/30/2024,Wind,21,22,3374
6/14/2024,Wind,18,19,11508
2/5/2024,Wind,19,20,7217
11/16/2020,Wind,2,3,9712
11/3/2025,Wind,12,13,14275
5/28/2023,Wind,22,23,9225
1/24/2020,Wind,22,23,628
2/4/2022,Wind,5,6,6025
1/2/2020,Wind,18,19,5346
8/30/2022,Wind,0,1,5425
11/29/2025,Wind,0,1,5241
5/14/2025,Solar,10,11,7025
12/25/2024,Wind,2,3,1698
9/16/2024,Solar,11,12,8063
6/13/2020,Wind,2,3,3116
5/26/2025,Solar,10,11,10578
1/29/2022,Wind,9,10,8062
8/29/2021,Wind,7,8,3373
8/17/2023,Wind,4,5,2138
11/1/2021,Wind,16,17,6650
4/27/2025,Solar,13,14,4171
3/25/2020,Wind,20,21,7278
11/13/2025,Wind,13,14,10055
10/29/2022,Wind,9,10,8680
5/12/2025,Wind,3,4,2071
12/26/2021,Wind,18,19,2979
11/27/2022,Wind,5,6,6949
6/10/2025,Wind,19,20,4337
1/14/2020,Wind,11,12,13956
4/19/2025,Wind,14,15,4692
10/16/2022,Wind,4,5,3203
11/8/2025,Solar,12,13,5483
6/3/2023,Wind,0,1,7045
12/21/2022,Wind,4,5,5289
8/15/2022,Wind,6,7,2354
6/14/2025,Wind,21,22,2617
11/11/2021,Wind,19,20,904
4/2/2024,Wind,19,20,9355
12/3/2024,Wind,0,1,6322
8/18/2021,Solar,10,11,4153
2/18/2022,Wind,0,1,6361
6/15/2020,Solar,9,10,3227
6/6/2020,Wind,3,4,5774
10/31/2022,Wind,6,7,3071
8/2/2023,Wind,18,19,18182
6/8/2023,Wind,6,7,4578
4/21/2024,Wind,15,16,10808
11/2/2025,Wind,9,10,11230
1/11/2023,Wind,22,23,15390
3/19/2020,Solar,11,12,3951
8/17/2025,Wind,8,9,6183
8/7/2020,Wind,6,7,2021
11/22/2025,Wind,9,10,8243
9/4/2025,Wind,5,6,6876
7/22/2020,Solar,10,11,2606
4/26/2021,Wind,3,4,9366
8/19/2021,Wind,4,5,1485
10/25/2022,Solar,14,15,5213
4/6/2020,Wind,9,10,6188
7/8/2023,Solar,15,16,8194
5/10/2020,Wind,10,11,2276
1/17/2020,Wind,1,2,9434
1/10/2024,Wind,9,10,2524
3/29/2022,Solar,14,15,4278
12/7/2022,Solar,14,15,3789
6/6/2024,Wind,1,2,1268
1/30/2020,Wind,6,7,6684
8/18/2020,Solar,9,10,1797
12/12/2024,Wind,7,8,3380
4/4/2022,Wind,23,0,8520
10/13/2025,Wind,4,5,6073
6/18/2024,Wind,4,5,2793
5/10/2022,Wind,6,7,2478
4/26/2023,Solar,15,16,4624
6/16/2021,Wind,2,3,1499
9/3/2021,Wind,6,7,2094
4/7/2025,Wind,3,4,6184
7/21/2020,Wind,8,9,3014
5/12/2022,Solar,10,11,4025
12/22/2022,Wind,11,12,13135
10/8/2024,Wind,22,23,13096
6/13/2021,Wind,5,6,2592
3/9/2021,Wind,22,23,2083
1/3/2022,Wind,17,18,8634
2/15/2025,Wind,21,22,5507
12/3/2021,Wind,13,14,13277
5/7/2021,Wind,8,9,3061
6/27/2025,Wind,2,3,3511
2/1/2020,Wind,11,12,11252
7/1/2020,Wind,20,21,4054
5/1/2023,Wind,20,21,3856
7/8/2025,Solar,18,19,8997
2/18/2021,Wind,20,21,6214
11/28/2022,Wind,13,14,5047
7/1/2021,Solar,17,18,3901
11/15/2023,Wind,20,21,4554
1/14/2021,Wind,10,11,8411
5/27/2020,Solar,11,12,5832
4/16/2020,Wind,21,22,1491
6/29/2020,Wind,16,17,10010
4/2/2024,Wind,6,7,13175
5/8/2022,Wind,1,2,4285
12/29/2023,Wind,15,16,13922
3/15/2024,Wind,3,4,10445
6/7/2021,Wind,6,7,1268
3/31/2020,Wind,17,18,10262
9/13/2021,Wind,1,2,2586
1/16/2023,Wind,14,15,16385
2/1/2021,Wind,20,21,3405
9/13/2022,Wind,5,6,1654
7/29/2023,Wind,15,16,11966
8/9/2020,Solar,16,17,3364
9/23/2021,Wind,1,2,1404
3/18/2021,Wind,9,10,4597
1/13/2024,Wind,0,1,2503
6/27/2023,Wind,6,7,2239
12/15/2023,Wind,0,1,2968
6/12/2023,Wind,19,20,3168
12/14/2020,Wind,6,7,8437
5/4/2023,Solar,13,14,11275
1/6/2022,Solar,11,12,5010
5/5/2023,Wind,6,7,2188
3/24/2021,Wind,19,20,2191
11/6/2020,Wind,5,6,6584
10/13/2025,Wind,0,1,7395
4/9/2025,Wind,22,23,11401
6/13/2022,Wind,3,4,3888
12/6/2020,Wind,0,1,3896
12/26/2022,Wind,23,0,5200
7/7/2022,Wind,18,19,8067
9/27/2021,Wind,16,17,10010
1/29/2024,Wind,18,19,7099
3/25/2024,Wind,21,22,8820
12/27/2022,Wind,9,10,4677
12/3/2021,Wind,18,19,11102
4/4/2023,Solar,15,16,10833
3/28/2024,Wind,7,8,15504
12/23/2022,Wind,0,1,11216
4/27/2025,Wind,22,23,3364
4/20/2020,Wind,0,1,5506
10/17/2022,Wind,12,13,6996
1/2/2025,Wind,0,1,12035
7/24/2020,Solar,15,16,6901
11/21/2020,Wind,10,11,4830
8/22/2022,Wind,19,20,2515
12/29/2022,Wind,4,5,11261
11/11/2022,Wind,23,0,4623
7/15/2021,Wind,23,0,5085
6/29/2020,Wind,18,19,8918
11/2/2020,Wind,17,18,8515
6/8/2022,Wind,14,15,10122
11/27/2020,Wind,1,2,1637
3/1/2022,Wind,18,19,1775
8/19/2025,Solar,16,17,6355
11/13/2022,Wind,22,23,2673
11/6/2025,Wind,21,22,2696
7/13/2022,Solar,12,13,6334
12/27/2021,Wind,9,10,8156
10/25/2021,Wind,20,21,3029
9/12/2023,Wind,4,5,705
4/2/2023,Wind,4,5,8890
9/28/2021,Wind,2,3,2108
5/17/2024,Solar,14,15,7184
11/13/2025,Wind,1,2,12913
10/13/2020,Wind,16,17,5579
2/17/2021,Wind,22,23,7964
10/9/2020,Wind,18,19,3322
2/19/2025,Wind,20,21,7629
11/16/2021,Wind,16,17,1087
12/30/2020,Wind,23,0,5476
7/14/2022,Solar,14,15,8923
3/19/2023,Wind,13,14,7895
7/24/2024,Solar,11,12,6845
10/31/2024,Wind,20,21,1073
5/9/2023,Wind,19,20,7431
3/9/2021,Wind,6,7,2088
5/6/2024,Wind,20,21,3270
10/26/2022,Wind,17,18,3223
12/7/2021,Wind,12,13,11221
5/5/2024,Wind,23,0,2081
4/23/2023,Wind,18,19,14741
11/2/2022,Wind,19,20,7737
3/14/2021,Wind,15,16,13538
11/29/2021,Wind,10,11,3702
6/14/2025,Solar,14,15,4546
4/28/2024,Wind,9,10,7916
5/13/2020,Wind,1,2,3264
6/4/2025,Solar,16,17,8625
6/23/2024,Solar,12,13,4144
1/24/2024,Wind,10,11,15539
10/14/2021,Wind,4,5,1720
10/8/2021,Wind,23,0,5380
3/17/2023,Wind,23,0,6418
8/28/2023,Wind,5,6,2801
9/7/2022,Solar,12,13,7186
12/23/2023,Wind,11,12,15819
8/5/2023,Wind,10,11,11382
5/28/2023,Wind,23,0,9894
7/20/2022,Wind,1,2,3765
1/18/2023,Wind,2,3,4661
9/29/2024,Wind,2,3,1731
2/23/2024,Wind,12,13,16403
10/4/2021,Wind,23,0,7024
10/20/2025,Wind,0,1,13425
3/24/2023,Wind,8,9,12405
7/23/2020,Solar,18,19,1954
5/13/2020,Wind,23,0,7165
9/6/2022,Wind,23,0,2214
2/17/2021,Wind,7,8,7775
5/29/2021,Solar,12,13,6169
7/25/2024,Wind,21,22,2257
4/16/2022,Wind,20,21,6001
7/28/2020,Wind,5,6,4107
5/31/2021,Wind,19,20,3587
6/27/2024,Wind,21,22,4170
10/23/2021,Wind,22,23,3701
11/22/2022,Wind,20,21,10307
3/26/2020,Wind,20,21,4960
8/9/2020,Wind,7,8,963
11/23/2025,Wind,22,23,6568
6/17/2022,Wind,3,4,3147
9/6/2020,Wind,6,7,1309
1/8/2023,Wind,12,13,13363
5/27/2020,Wind,2,3,4422
12/29/2023,Wind,12,13,15941
1/6/2022,Wind,3,4,2846
3/8/2025,Wind,0,1,10805
6/25/2023,Solar,16,17,8815
10/31/2023,Wind,12,13,11825
4/18/2021,Wind,7,8,2893
5/5/2020,Wind,14,15,6849
5/3/2023,Solar,9,10,7624
9/3/2023,Wind,19,20,5905
10/25/2024,Wind,21,22,1798
5/11/2022,Wind,6,7,3550
1/30/2025,Wind,14,15,8803
4/29/2020,Wind,5,6,4808
4/3/2020,Wind,5,6,2053
5/14/2020,Wind,1,2,7248
8/22/2020,Wind,9,10,7218
4/24/2021,Wind,19,20,6192
6/26/2025,Wind,17,18,14166
10/7/2020,Wind,20,21,4044
2/11/2020,Wind,13,14,14541
10/21/2024,Wind,23,0,6386
8/7/2022,Wind,8,9,5411
1/8/2021,Wind,7,8,1043
3/27/2020,Solar,12,13,5875
9/14/2022,Solar,13,14,6213
2/9/2021,Wind,17,18,5404
4/25/2021,Wind,5,6,8275
12/20/2022,Wind,1,2,13886
3/15/2023,Wind,8,9,3420
1/9/2024,Wind,18,19,3646
6/5/2021,Solar,15,16,5731
11/28/2024,Wind,22,23,4321
4/28/2020,Wind,3,4,3006
10/8/2025,Wind,2,3,730
7/24/2025,Solar,12,13,8701
5/18/2021,Wind,20,21,3351
4/7/2023,Wind,6,7,1998
2/28/2022,Wind,18,19,2179
11/3/2023,Wind,23,0,10599
4/28/2021,Wind,23,0,2245
10/22/2023,Wind,19,20,1963
12/4/2023,Wind,16,17,14332
3/12/2023,Wind,10,11,11363
6/10/2024,Wind,16,17,9028
12/7/2023,Wind,7,8,7243
1/11/2020,Wind,13,14,6243
6/20/2022,Wind,18,19,6057
12/9/2021,Wind,12,13,6822
10/22/2021,Wind,4,5,2148
8/18/2023,Solar,12,13,7556
8/26/2020,Wind,15,16,10494
5/17/2023,Wind,1,2,7393
12/10/2024,Wind,14,15,9436
9/4/2023,Wind,16,17,10840
6/15/2023,Wind,21,22,2306
1/12/2021,Wind,6,7,12614
4/23/2021,Wind,7,8,5325
5/28/2020,Wind,21,22,4838
4/17/2023,Wind,0,1,3728
1/12/2020,Wind,6,7,7023
11/29/2024,Wind,4,5,7114
4/28/2025,Wind,20,21,4319
6/10/2020,Solar,10,11,3435
2/15/2025,Wind,17,18,3299
3/25/2023,Wind,18,19,9938
10/4/2021,Wind,19,20,4512
8/3/2023,Wind,6,7,11952
8/27/2022,Wind,1,2,2886
2/8/2021,Wind,17,18,1809
2/5/2023,Wind,16,17,10704
4/27/2021,Wind,21,22,1594
12/8/2021,Wind,1,2,10646
9/29/2022,Wind,21,22,1181
8/14/2025,Wind,0,1,3432
8/12/2023,Wind,8,9,2514
4/25/2022,Wind,0,1,3834
3/12/2025,Wind,6,7,2812
1/2/2023,Wind,23,0,4165
6/23/2021,Wind,23,0,2524
1/27/2024,Solar,14,15,5047
4/19/2022,Solar,12,13,5004
11/2/2020,Wind,6,7,11975
2/25/2025,Wind,22,23,11904
9/30/2025,Wind,4,5,1402
3/18/2023,Wind,22,23,3908
11/25/2020,Wind,7,8,6287
11/11/2020,Wind,15,16,3805
5/26/2022,Wind,5,6,3427
4/27/2020,Wind,20,21,2041
7/26/2021,Wind,6,7,1744
7/1/2024,Wind,7,8,2190
10/13/2022,Wind,12,13,6261
4/9/2021,Wind,18,19,5113
10/10/2021,Wind,0,1,2713
4/22/2023,Wind,11,12,8274
1/22/2022,Wind,23,0,1705
10/6/2024,Wind,21,22,8155
5/4/2020,Wind,4,5,772
11/6/2022,Wind,5,6,7347
8/16/2024,Solar,12,13,8933
12/15/2020,Wind,16,17,2633
1/4/2021,Wind,19,20,3018
2/17/2022,Wind,15,16,14562
2/22/2020,Wind,7,8,8585
2/3/2025,Solar,12,13,6618
5/16/2022,Solar,12,13,7824
3/20/2025,Wind,15,16,8861
10/8/2021,Wind,17,18,6180
1/11/2025,Wind,4,5,2047
10/29/2024,Wind,3,4,1443
5/25/2021,Wind,8,9,9963
4/20/2022,Wind,18,19,4079
7/28/2023,Wind,20,21,4401
1/25/2022,Wind,8,9,376
11/12/2024,Wind,0,1,8295
7/2/2021,Wind,4,5,524
4/30/2022,Wind,22,23,4244
3/18/2024,Wind,6,7,2178
12/28/2023,Wind,23,0,13532
4/4/2023,Wind,22,23,4225
6/19/2022,Wind,19,20,7351
10/27/2021,Solar,12,13,5370
1/24/2025,Wind,16,17,14158
6/22/2021,Wind,21,22,3591
7/25/2021,Wind,18,19,5105
12/1/2021,Wind,7,8,13835
3/1/2020,Wind,20,21,8419
3/28/2024,Wind,4,5,14967
1/3/2020,Wind,22,23,4207
11/25/2024,Wind,23,0,6573
5/5/2023,Solar,15,16,8449
4/27/2025,Wind,5,6,4156
5/21/2024,Solar,17,18,6724
10/17/2023,Wind,18,19,7943
5/15/2023,Wind,15,16,12236
4/20/2024,Wind,7,8,6623
4/28/2024,Wind,21,22,3181
6/17/2022,Wind,8,9,3818
3/26/2021,Wind,16,17,10584
10/7/2023,Wind,7,8,2231
2/2/2025,Solar,13,14,5898
7/28/2025,Wind,6,7,3946
10/25/2025,Wind,8,9,12427
12/2/2020,Wind,3,4,4378
6/10/2022,Solar,10,11,6486
11/17/2024,Wind,19,20,5733
11/13/2022,Wind,23,0,3184
6/17/2024,Wind,23,0,2344
10/27/2020,Wind,4,5,5881
5/6/2025,Wind,22,23,9412
7/1/2023,Wind,6,7,7665
11/10/2023,Wind,0,1,12598
7/4/2024,Wind,15,16,8892
6/15/2021,Wind,2,3,2314
8/9/2025,Wind,2,3,1411
10/18/2023,Wind,8,9,11434
5/23/2022,Wind,15,16,11353
9/27/2020,Wind,6,7,11628
4/15/2021,Wind,0,1,5536
11/5/2023,Wind,18,19,13494
11/3/2022,Wind,23,0,10983
5/2/2021,Solar,11,12,4597
2/20/2024,Wind,1,2,3775
7/11/2024,Solar,15,16,6569
10/23/2025,Wind,2,3,18020
6/26/2021,Solar,10,11,3463
1/26/2023,Wind,7,8,2785
4/21/2024,Wind,5,6,5440
2/7/2024,Wind,20,21,10078
11/19/2023,Wind,19,20,12727
1/14/2020,Wind,5,6,11947
10/10/2025,Solar,10,11,6209
5/6/2020,Solar,12,13,5389
6/11/2023,Solar,17,18,5511
7/10/2020,Wind,11,12,5812
8/6/2023,Wind,18,19,12828
9/28/2022,Solar,12,13,6478
4/17/2025,Wind,21,22,2201
2/28/2023,Wind,22,23,7116
8/17/2020,Wind,16,17,6027
5/13/2021,Solar,16,17,4826
8/28/2020,Wind,16,17,8440
2/28/2021,Wind,1,2,8031
3/22/2024,Solar,10,11,7476
5/4/2022,Wind,20,21,1854
9/27/2022,Wind,12,13,12571
8/8/2025,Wind,2,3,1497
7/20/2021,Wind,20,21,2246
11/6/2023,Wind,16,17,9657
10/9/2022,Wind,18,19,2019
3/3/2021,Wind,17,18,1043
6/27/2021,Wind,0,1,3833
5/27/2024,Solar,12,13,6999
10/26/2021,Wind,18,19,2863
7/31/2020,Solar,15,16,5827
3/27/2023,Solar,16,17,7513
10/8/2023,Wind,8,9,1493
7/4/2020,Wind,14,15,12039
1/29/2025,Wind,23,0,6217
4/20/2025,Wind,23,0,4459
9/11/2022,Wind,7,8,587
2/15/2020,Wind,15,16,10985
5/14/2025,Wind,23,0,6132
3/5/2021,Wind,10,11,7772
10/26/2023,Wind,1,2,4909
10/24/2025,Wind,1,2,14684
10/27/2023,Wind,2,3,8268
6/16/2025,Solar,15,16,10527
1/7/2020,Wind,3,4,3967
7/22/2025,Wind,0,1,7645
3/15/2023,Solar,9,10,4554
10/6/2020,Wind,11,12,11671
10/15/2024,Wind,7,8,3772
2/18/2025,Wind,19,20,11327
11/25/2020,Wind,14,15,4090
5/22/2024,Wind,23,0,3024
1/22/2021,Wind,10,11,3354
9/10/2023,Solar,16,17,6517
2/14/2020,Wind,19,20,4429
1/11/2022,Solar,12,13,5018
4/6/2022,Wind,10,11,7764
12/19/2020,Wind,10,11,10892
1/24/2023,Wind,12,13,6696
7/1/2021,Solar,18,19,3022
10/25/2024,Wind,12,13,6893
11/14/2021,Wind,12,13,4665
4/17/2021,Wind,4,5,4834
8/6/2024,Wind,22,23,2097
8/23/2024,Wind,2,3,9509
